DY,HR,temperature_2m,wind_speed_10m,wind_direction_10m,shortwave_radiation,surface_pressure,temperature_2m_std,wind_speed_10m_std,shortwave_radiation_std,surface_pressure_std,total_distance_m,lat,lon
28,13,32.93333333,10.88333333,170,917.6666667,1007.183333,1.594574133,6.202392012,14.63785048,0.842417157,10000,-12.4394371,130.9062213
28,14,32.66666667,10.73333333,231.6666667,845.8333333,1006.066667,1.760303004,5.483308004,42.50372533,0.697614985,10000,-12.4394371,130.9062213
28,15,31.9,12.05,227.6666667,716.6666667,1005.416667,1.555634919,4.581157059,48.94350485,0.730524925,10000,-12.4394371,130.9062213
28,16,30.98333333,14.7,280.5,549.6666667,1005.066667,1.004821709,3.46121366,22.33980006,0.722956891,10000,-12.4394371,130.9062213
28,17,29.96666667,13.66666667,283.6666667,328.1666667,1005.2,0.7393691,2.907690951,13.09070917,0.903327183,10000,-12.4394371,130.9062213
28,18,28.33333333,10.06666667,210.5,105.8333333,1005.683333,0.427395211,3.234604561,2.926886856,1.01865925,10000,-12.4394371,130.9062213
29,7,23.06666667,9.4,111.1666667,20.16666667,1009.35,1.061445555,3.965349922,2.228601953,1.280234354,10000,-12.4394371,130.9062213
29,8,25,9.683333333,113.1666667,190.5,1009.933333,1.063954886,4.880744479,19.08664455,1.267543556,10000,-12.4394371,130.9062213
29,9,27.2,9.016666667,97.83333333,430,1010.166667,0.589915248,6.769761197,19.20416621,1.091176735,10000,-12.4394371,130.9062213
29,10,29.23333333,10.43333333,143,634.1666667,1010.033333,0.585377371,7.255526629,35.33506285,1.162181856,10000,-12.4394371,130.9062213
29,11,30.78333333,11.35,184.3333333,797.3333333,1009.35,0.897589364,7.455668984,31.33475174,0.964883413,10000,-12.4394371,130.9062213
29,12,31.63333333,11.36666667,164.5,873.1666667,1008.283333,1.48548533,7.091591265,63.58432721,0.953764471,10000,-12.4394371,130.9062213
29,13,31.71666667,11.91666667,254.5,894.6666667,1007.133333,2.162791406,6.335745155,66.09891578,1.032795559,10000,-12.4394371,130.9062213
29,14,31.3,12.8,239,841.5,1006.116667,2.372340616,5.80585911,69.08762552,0.994819917,10000,-12.4394371,130.9062213
29,15,30.96666667,13.55,278.5,721,1005.5,1.641543989,5.217949789,58.0551462,1.035374328,10000,-12.4394371,130.9062213
29,16,30.43333333,13.91666667,226.6666667,543,1005.066667,0.987252079,3.510223165,42.06661384,0.939503415,10000,-12.4394371,130.9062213
29,17,29.86666667,12.18333333,234.8333333,327.1666667,1005.316667,0.898146239,3.032765515,19.56953415,0.902034737,10000,-12.4394371,130.9062213
29,18,28.28333333,11.01666667,165.6666667,105.5,1005.916667,0.949561302,1.594260539,4.888762625,0.899814796,10000,-12.4394371,130.9062213
22,7,21.61666667,7.4,110.5,15.5,1010.266667,1.669031655,3.993995493,0.547722558,1.121903145,20000,-12.47091134,130.9904939
